ID.interactor.A,RefSeq.interactor.A,UniprotKB.interactor.A,ID.interactor.B,RefSeq.interactor.B,UniprotKB.interactor.B
DIP-671N,NP_009918,P25605,DIP-1104N,NP_013826,P07342
DIP-25N,NP_012903,P09798,DIP-25N,NP_012903,P09798
DIP-551N,NP_012231,P07278,DIP-548N,NP_012371,P06244
DIP-18N,NP_010765,P06782,DIP-780N,NP_014142,P38717
DIP-48N,NP_012229,P15790,DIP-262N,NP_014682,P38930
DIP-13N,NP_010177,P07269,DIP-142N,NP_013025,P22035
DIP-962N,NP_014432,P50278,DIP-760N,NP_012717,P33418
DIP-696N,NP_009670,P14922,DIP-665N,NP_011480,P27705
DIP-376N,NP_010457,P05453,DIP-376N,NP_010457,P05453
DIP-800N,NP_009701,P12385,DIP-376N,NP_010457,P05453
DIP-1102N,NP_010432,P19262,DIP-41N,NP_116635,P09624
DIP-1102N,NP_010432,P19262,DIP-365N,NP_012141,P20967
DIP-823N,NP_010359,P31688,DIP-744N,NP_009684,Q00764
DIP-744N,NP_009684,Q00764,DIP-891N,NP_013988,P38426
DIP-744N,NP_009684,Q00764,DIP-753N,NP_013608,P38427
DIP-823N,NP_010359,P31688,DIP-891N,NP_013988,P38426
DIP-753N,NP_013608,P38427,DIP-823N,NP_010359,P31688
DIP-970N,NP_014227,P53886,DIP-25N,NP_012903,P09798
DIP-352N,NP_116694,P14724,DIP-25N,NP_012903,P09798
DIP-970N,NP_014227,P53886,DIP-970N,NP_014227,P53886
DIP-25N,NP_012903,P09798,DIP-589N,NP_012036,P16522
DIP-796N,NP_009469,P38042,DIP-25N,NP_012903,P09798
DIP-589N,NP_012036,P16522,DIP-589N,NP_012036,P16522
DIP-589N,NP_012036,P16522,DIP-796N,NP_009469,P38042
DIP-542N,NP_011014,P00899,DIP-543N,NP_012711,P00937
DIP-1023N,NP_012643,P03965,DIP-1024N,NP_014947,P07258
DIP-338N,NP_009754,P13712,DIP-811N,NP_013605,Q04199
DIP-338N,NP_009754,P13712,DIP-923N,NP_015343,Q12495
DIP-923N,NP_015343,Q12495,DIP-811N,NP_013605,Q04199
DIP-839N,NP_011790,P46677,DIP-44N,NP_011075,P13393
DIP-343N,NP_009971,P23255,DIP-44N,NP_011075,P13393
DIP-813N,NP_014140,P38636,DIP-906N,NP_010556,P38995
DIP-44N,NP_011075,P13393,DIP-964N,NP_014359,P46678
DIP-964N,NP_014359,P46678,DIP-191N,NP_011762,P29056
DIP-44N,NP_011075,P13393,DIP-191N,NP_011762,P29056
DIP-595N,NP_013547,P06701,DIP-417N,NP_009564,P61830
DIP-595N,NP_013547,P06701,DIP-418N,NP_009563,P02309
DIP-33N,NP_010513,P11978,DIP-417N,NP_009564,P61830
DIP-418N,NP_009563,P02309,DIP-33N,NP_010513,P11978
DIP-595N,NP_013547,P06701,DIP-33N,NP_010513,P11978
DIP-595N,NP_013547,P06701,DIP-851N,NP_014183,P11938
DIP-416N,NP_010510,P02293,DIP-595N,NP_013547,P06701
DIP-595N,NP_013547,P06701,DIP-595N,NP_013547,P06701
DIP-851N,NP_014183,P11938,DIP-33N,NP_010513,P11978
DIP-33N,NP_010513,P11978,DIP-596N,NP_010242,P06700
DIP-834N,NP_010365,P38959,DIP-1002N,NP_010206,Q07468
DIP-510N,NP_012731,P25296,DIP-662N,NP_013537,P23287
DIP-833N,NP_013655,P14747,DIP-510N,NP_012731,P25296
DIP-549N,NP_015121,P06245,DIP-551N,NP_012231,P07278
DIP-550N,NP_012755,P05986,DIP-551N,NP_012231,P07278
DIP-847N,NP_011036,P25302,DIP-598N,NP_013283,P09959
DIP-847N,NP_011036,P25302,DIP-658N,NP_015444,P24869
DIP-157N,NP_015120,P29295,DIP-598N,NP_013283,P09959
DIP-720N,NP_014245,P23292,DIP-719N,NP_012003,P23291
DIP-262N,NP_014682,P38930,DIP-262N,NP_014682,P38930
DIP-938N,NP_014273,P53540,DIP-821N,NP_013313,P53378
DIP-826N,NP_012042,P38863,DIP-821N,NP_013313,P53378
DIP-938N,NP_014273,P53540,DIP-826N,NP_012042,P38863
DIP-938N,NP_014273,P53540,DIP-702N,NP_010643,P32380
DIP-826N,NP_012042,P38863,DIP-702N,NP_010643,P32380
DIP-1038N,NP_014704,P19454,DIP-262N,NP_014682,P38930
DIP-742N,NP_012739,P07149,DIP-960N,NP_015093,P19097
DIP-824N,NP_010370,P33304,DIP-853N,NP_011975,P32468
DIP-943N,NP_010504,Q04921,DIP-943N,NP_010504,Q04921
DIP-689N,NP_012332,P32524,DIP-1001N,NP_010241,Q07350
DIP-651N,NP_010254,P19736,DIP-1001N,NP_010241,Q07350
DIP-651N,NP_010254,P19736,DIP-651N,NP_010254,P19736
DIP-689N,NP_012332,P32524,DIP-651N,NP_010254,P19736
DIP-48N,NP_012229,P15790,DIP-282N,NP_011496,P43639
DIP-2N,-,P12294,DIP-411N,NP_012579,P12398
DIP-1038N,NP_014704,P19454,DIP-282N,NP_011496,P43639
DIP-512N,NP_010007,P16649,DIP-696N,NP_009670,P14922
DIP-796N,NP_009469,P38042,DIP-796N,NP_009469,P38042
DIP-419N,NP_010511,P04911,DIP-595N,NP_013547,P06701
DIP-282N,NP_011496,P43639,DIP-282N,NP_011496,P43639
DIP-669N,NP_013279,P14306,DIP-913N,NP_012474,P40368
DIP-940N,NP_013544,P36517,DIP-663N,NP_012203,Q00916
DIP-776N,NP_014448,P38999,DIP-903N,NP_012556,P47093
DIP-961N,NP_015220,Q02875,DIP-991N,NP_013217,Q12186
DIP-791N,NP_009449,P38167,DIP-689N,NP_012332,P32524
DIP-816N,NP_012274,P40567,DIP-697N,NP_009672,P31244
DIP-895N,NP_014660,P32606,DIP-816N,NP_012274,P40567
DIP-816N,NP_012274,P40567,DIP-804N,NP_012067,P38883
DIP-848N,NP_011037,P40070,DIP-903N,NP_012556,P47093
DIP-651N,NP_010254,P19736,DIP-1012N,NP_010709,Q04052
DIP-816N,NP_012274,P40567,DIP-142N,NP_013025,P22035
DIP-844N,NP_010949,P40020,DIP-871N,NP_010481,P42073
DIP-18N,NP_010765,P06782,DIP-777N,NP_010710,P32578
DIP-97N,NP_013341,P22543,DIP-814N,NP_009655,P22219
DIP-33N,NP_010513,P11978,DIP-33N,NP_010513,P11978
DIP-746N,NP_013090,P33750,DIP-698N,NP_010270,P15646
DIP-982N,NP_011399,P26309,DIP-293N,NP_011429,P40957
DIP-815N,NP_012504,P40958,DIP-982N,NP_011399,P26309
DIP-954N,NP_014855,P18851,DIP-314N,NP_012619,P18852
DIP-954N,NP_014855,P18851,DIP-15N,NP_011868,P08539
DIP-725N,NP_010692,P34087,DIP-55N,NP_012395,P20433
DIP-747N,NP_013396,P32835,DIP-838N,NP_010285,P41920
DIP-81N,NP_014741,P20676,DIP-728N,NP_014210,Q02821
DIP-859N,NP_013439,P32499,DIP-728N,NP_014210,Q02821
DIP-86N,NP_014533,P13902,DIP-680N,NP_010408,P26798
DIP-75N,NP_015467,P17119,DIP-192N,NP_013925,Q01649
DIP-911N,NP_116692,P07270,DIP-13N,NP_010177,P07269
DIP-702N,NP_010643,P32380,DIP-536N,NP_009667,P06787
DIP-223N,NP_009677,P32605,DIP-905N,NP_013324,P39520
DIP-909N,NP_013554,Q06205,DIP-223N,NP_009677,P32605
DIP-223N,NP_009677,P32605,DIP-972N,NP_014172,P53863
DIP-223N,NP_009677,P32605,DIP-557N,NP_013696,P26570
DIP-557N,NP_013696,P26570,DIP-663N,NP_012203,Q00916
DIP-663N,NP_012203,Q00916,DIP-870N,NP_010395,O13329
DIP-868N,NP_009352,P39723,DIP-663N,NP_012203,Q00916
DIP-672N,NP_010025,P25607,DIP-663N,NP_012203,Q00916
DIP-912N,NP_116697,P43611,DIP-663N,NP_012203,Q00916
DIP-663N,NP_012203,Q00916,DIP-885N,NP_011719,P42937
DIP-663N,NP_012203,Q00916,DIP-989N,NP_013117,Q07938
DIP-822N,NP_013314,Q05790,DIP-663N,NP_012203,Q00916
DIP-877N,NP_013722,Q03677,DIP-663N,NP_012203,Q00916
DIP-663N,NP_012203,Q00916,DIP-876N,NP_013758,Q04213
DIP-975N,NP_014413,Q00955,DIP-663N,NP_012203,Q00916
DIP-732N,NP_014200,Q01722,DIP-663N,NP_012203,Q00916
DIP-233N,NP_011946,P32361,DIP-663N,NP_012203,Q00916
DIP-663N,NP_012203,Q00916,DIP-174N,NP_009490,P28742
DIP-764N,NP_116638,P35191,DIP-663N,NP_012203,Q00916
DIP-663N,NP_012203,Q00916,DIP-808N,NP_011888,P08964
DIP-663N,NP_012203,Q00916,DIP-846N,NP_011031,P40064
DIP-1000N,NP_014991,P12689,DIP-663N,NP_012203,Q00916
DIP-663N,NP_012203,Q00916,DIP-597N,NP_014639,P22579
DIP-1032N,NP_015309,P09547,DIP-663N,NP_012203,Q00916
DIP-663N,NP_012203,Q00916,DIP-757N,NP_009675,P33315
DIP-850N,NP_011099,P32639,DIP-663N,NP_012203,Q00916
DIP-663N,NP_012203,Q00916,DIP-696N,NP_009670,P14922
DIP-663N,NP_012203,Q00916,DIP-69N,NP_015109,P21560
DIP-663N,NP_012203,Q00916,DIP-727N,NP_010271,P32828
DIP-910N,NP_013967,Q02554,DIP-850N,NP_011099,P32639
DIP-910N,NP_013967,Q02554,DIP-1032N,NP_015309,P09547
DIP-930N,NP_014964,Q99181,DIP-910N,NP_013967,Q02554
DIP-910N,NP_013967,Q02554,DIP-990N,NP_013191,P39102
DIP-665N,NP_011480,P27705,DIP-910N,NP_013967,Q02554
DIP-696N,NP_009670,P14922,DIP-910N,NP_013967,Q02554
DIP-984N,NP_011570,P53236,DIP-930N,NP_014964,Q99181
DIP-903N,NP_012556,P47093,DIP-930N,NP_014964,Q99181
DIP-903N,NP_012556,P47093,DIP-883N,NP_010002,P25644
DIP-903N,NP_012556,P47093,DIP-944N,NP_010514,P39081
DIP-842N,NP_010901,P39998,DIP-903N,NP_012556,P47093
DIP-903N,NP_012556,P47093,DIP-980N,NP_011419,P53147
DIP-903N,NP_012556,P47093,DIP-807N,NP_011899,P38768
DIP-841N,NP_012095,P40438,DIP-903N,NP_012556,P47093
DIP-803N,NP_010563,P35198,DIP-903N,NP_012556,P47093
DIP-931N,NP_011674,P48240,DIP-903N,NP_012556,P47093
DIP-976N,NP_014451,P53742,DIP-903N,NP_012556,P47093
DIP-991N,NP_013217,Q12186,DIP-655N,NP_010929,P24384
DIP-991N,NP_013217,Q12186,DIP-1032N,NP_015309,P09547
DIP-991N,NP_013217,Q12186,DIP-917N,NP_012600,P35169
DIP-915N,NP_012538,P27351,DIP-991N,NP_013217,Q12186
DIP-991N,NP_013217,Q12186,DIP-1004N,NP_010125,Q12510
DIP-991N,NP_013217,Q12186,DIP-820N,NP_012136,P40467
DIP-874N,NP_013781,Q04746,DIP-991N,NP_013217,Q12186
DIP-812N,NP_013667,P39682,DIP-991N,NP_013217,Q12186
DIP-705N,NP_009731,P32909,DIP-991N,NP_013217,Q12186
DIP-758N,NP_012849,P36084,DIP-705N,NP_009731,P32909
DIP-961N,NP_015220,Q02875,DIP-758N,NP_012849,P36084
DIP-758N,NP_012849,P36084,DIP-991N,NP_013217,Q12186
DIP-812N,NP_013667,P39682,DIP-758N,NP_012849,P36084
DIP-758N,NP_012849,P36084,DIP-665N,NP_011480,P27705
DIP-758N,NP_012849,P36084,DIP-1032N,NP_015309,P09547
DIP-863N,NP_013461,Q06488,DIP-758N,NP_012849,P36084
DIP-69N,NP_015109,P21560,DIP-1001N,NP_010241,Q07350
DIP-1001N,NP_010241,Q07350,DIP-902N,NP_012389,P46958
DIP-1001N,NP_010241,Q07350,DIP-678N,NP_014031,P32843
DIP-985N,NP_011678,P39935,DIP-1001N,NP_010241,Q07350
DIP-330N,NP_011466,P39936,DIP-1001N,NP_010241,Q07350
DIP-1001N,NP_010241,Q07350,DIP-798N,NP_009671,P38267
DIP-1001N,NP_010241,Q07350,DIP-867N,NP_010416,Q03899
DIP-1001N,NP_010241,Q07350,DIP-831N,NP_010466,Q04002
DIP-1001N,NP_010241,Q07350,DIP-1011N,NP_010697,Q04195
DIP-849N,NP_011038,P40071,DIP-1001N,NP_010241,Q07350
DIP-1001N,NP_010241,Q07350,DIP-756N,NP_012767,P36056
DIP-988N,NP_013087,Q12431,DIP-1001N,NP_010241,Q07350
DIP-967N,NP_014375,P53971,DIP-1001N,NP_010241,Q07350
DIP-1001N,NP_010241,Q07350,DIP-976N,NP_014451,P53742
DIP-976N,NP_014451,P53742,DIP-689N,NP_012332,P32524
DIP-958N,NP_014505,Q12471,DIP-689N,NP_012332,P32524
DIP-830N,NP_010454,P11075,DIP-689N,NP_012332,P32524
DIP-1018N,NP_010004,P25648,DIP-689N,NP_012332,P32524
DIP-689N,NP_012332,P32524,DIP-795N,NP_009486,P38187
DIP-689N,NP_012332,P32524,DIP-763N,NP_013016,P36166
DIP-894N,NP_014012,Q03264,DIP-689N,NP_012332,P32524
DIP-689N,NP_012332,P32524,DIP-921N,NP_014550,Q12411
DIP-932N,NP_013168,P32522,DIP-689N,NP_012332,P32524
DIP-227N,NP_011588,Q02260,DIP-760N,NP_012717,P33418
DIP-227N,NP_011588,Q02260,DIP-1010N,NP_010677,P17121
DIP-220N,NP_010373,Q02775,DIP-227N,NP_011588,Q02260
DIP-227N,NP_011588,Q02260,DIP-797N,NP_009599,P38227
DIP-983N,NP_011313,P53090,DIP-227N,NP_011588,Q02260
DIP-227N,NP_011588,Q02260,DIP-916N,NP_012567,P47104
DIP-741N,NP_012733,P34230,DIP-227N,NP_011588,Q02260
DIP-941N,NP_013545,Q12745,DIP-227N,NP_011588,Q02260
DIP-853N,NP_011975,P32468,DIP-715N,NP_013248,P43321
DIP-715N,NP_013248,P43321,DIP-819N,NP_012127,P38927
DIP-881N,NP_013534,Q00416,DIP-715N,NP_013248,P43321
DIP-715N,NP_013248,P43321,DIP-99N,NP_013079,P23201
DIP-843N,NP_010946,P40018,DIP-715N,NP_013248,P43321
DIP-715N,NP_013248,P43321,DIP-662N,NP_013537,P23287
DIP-715N,NP_013248,P43321,DIP-697N,NP_009672,P31244
DIP-986N,NP_011806,P53339,DIP-715N,NP_013248,P43321
DIP-715N,NP_013248,P43321,DIP-827N,NP_012048,P38699
DIP-715N,NP_013248,P43321,DIP-888N,NP_013806,Q04301
DIP-976N,NP_014451,P53742,DIP-843N,NP_010946,P40018
DIP-843N,NP_010946,P40018,DIP-777N,NP_010710,P32578
DIP-782N,NP_013321,P47818,DIP-843N,NP_010946,P40018
DIP-843N,NP_010946,P40018,DIP-971N,NP_014212,P53873
DIP-1017N,NP_009871,P25588,DIP-651N,NP_010254,P19736
DIP-651N,NP_010254,P19736,DIP-856N,NP_013663,Q04693
DIP-651N,NP_010254,P19736,DIP-896N,NP_014666,Q12433
DIP-651N,NP_010254,P19736,DIP-996N,NP_014834,Q08562
DIP-651N,NP_010254,P19736,DIP-993N,NP_015179,Q12080
DIP-727N,NP_010271,P32828,DIP-651N,NP_010254,P19736
DIP-976N,NP_014451,P53742,DIP-651N,NP_010254,P19736
DIP-895N,NP_014660,P32606,DIP-651N,NP_010254,P19736
DIP-810N,NP_013603,Q01846,DIP-651N,NP_010254,P19736
DIP-651N,NP_010254,P19736,DIP-789N,NP_013718,P50105
DIP-759N,NP_012748,P36048,DIP-816N,NP_012274,P40567
DIP-816N,NP_012274,P40567,DIP-799N,NP_009694,P38111
DIP-816N,NP_012274,P40567,DIP-968N,NP_014362,P53615
DIP-415N,NP_012443,P12954,DIP-816N,NP_012274,P40567
DIP-731N,NP_012123,Q00578,DIP-816N,NP_012274,P40567
DIP-816N,NP_012274,P40567,DIP-1032N,NP_015309,P09547
DIP-857N,NP_010283,Q03441,DIP-816N,NP_012274,P40567
DIP-832N,NP_010470,Q04005,DIP-816N,NP_012274,P40567
DIP-805N,NP_011967,P38811,DIP-816N,NP_012274,P40567
DIP-816N,NP_012274,P40567,DIP-872N,NP_014308,P53935
DIP-994N,NP_014654,Q08409,DIP-816N,NP_012274,P40567
DIP-844N,NP_010949,P40020,DIP-942N,NP_013561,Q06199
DIP-942N,NP_013561,Q06199,DIP-818N,NP_012122,P40460
DIP-762N,NP_013010,P32769,DIP-942N,NP_013561,Q06199
DIP-942N,NP_013561,Q06199,DIP-976N,NP_014451,P53742
DIP-745N,NP_116657,P34077,DIP-669N,NP_013279,P14306
DIP-18N,NP_010765,P06782,DIP-592N,NP_011400,P12904
DIP-903N,NP_012556,P47093,DIP-794N,NP_009527,P38203
DIP-965N,NP_014348,P53952,DIP-903N,NP_012556,P47093
DIP-866N,NP_011634,P48837,DIP-669N,NP_013279,P14306
DIP-998N,NP_014918,Q12033,DIP-663N,NP_012203,Q00916
DIP-828N,NP_012079,P38892,DIP-930N,NP_014964,Q99181
DIP-991N,NP_013217,Q12186,DIP-957N,NP_010120,Q12518
DIP-730N,NP_013006,Q02046,DIP-715N,NP_013248,P43321
DIP-816N,NP_012274,P40567,DIP-662N,NP_013537,P23287
DIP-709N,NP_011343,Q02199,DIP-669N,NP_013279,P14306
DIP-992N,NP_013254,P52910,DIP-663N,NP_012203,Q00916
DIP-806N,NP_011900,P38769,DIP-903N,NP_012556,P47093
DIP-995N,NP_014719,Q08491,DIP-903N,NP_012556,P47093
DIP-903N,NP_012556,P47093,DIP-1103N,NP_009557,P18900
DIP-903N,NP_012556,P47093,DIP-656N,NP_011342,P22147
DIP-903N,NP_012556,P47093,DIP-969N,NP_014281,P53550
DIP-1001N,NP_010241,Q07350,DIP-893N,NP_013835,Q04477
DIP-712N,NP_011856,Q03497,DIP-689N,NP_012332,P32524
DIP-1008N,NP_010773,Q03388,DIP-651N,NP_010254,P19736
DIP-816N,NP_012274,P40567,DIP-932N,NP_013168,P32522
DIP-942N,NP_013561,Q06199,DIP-816N,NP_012274,P40567
DIP-870N,NP_010395,O13329,DIP-223N,NP_009677,P32605
DIP-1009N,NP_010674,Q04149,DIP-1001N,NP_010241,Q07350
DIP-337N,NP_009378,P07866,DIP-816N,NP_012274,P40567
DIP-310N,NP_116614,P60010,DIP-525N,NP_009890,P17709
DIP-197N,NP_013050,Q03048,DIP-310N,NP_116614,P60010
DIP-979N,NP_011467,Q01939,DIP-593N,NP_015076,P04386
DIP-7N,NP_010502,P07248,DIP-183N,NP_010736,Q02336
DIP-892N,NP_010531,P50108,DIP-845N,NP_010878,P32629
DIP-796N,NP_009469,P38042,DIP-352N,NP_116694,P14724
DIP-970N,NP_014227,P53886,DIP-1130N,NP_010276,Q12157
DIP-197N,NP_013050,Q03048,DIP-890N,NP_013810,P46680
DIP-1145N,NP_010550,P39010,DIP-809N,NP_010055,P35197
DIP-1201N,NP_010664,P48360,DIP-1203N,NP_012290,P40576
DIP-1256N,NP_013858,P39110,DIP-1258N,NP_014713,Q08484
DIP-1294N,NP_011314,P53091,DIP-1293N,NP_012116,P32354
DIP-310N,NP_116614,P60010,DIP-670N,NP_009903,P11710
DIP-914N,NP_012352,P46985,DIP-918N,NP_012609,P47124
DIP-1151N,NP_011702,P41895,DIP-1147N,NP_015196,P35189
DIP-1234N,NP_010150,Q12018,DIP-1241N,NP_011265,P53061
DIP-1235N,NP_010267,P06243,DIP-1247N,NP_009979,P25630
DIP-1314N,NP_013767,P46671,DIP-1315N,NP_116663,P43592
DIP-801N,NP_009834,P29539,DIP-851N,NP_014183,P11938
DIP-858N,NP_010388,P32917,DIP-861N,NP_013466,P23561
DIP-9N,NP_010122,P06784,DIP-858N,NP_010388,P32917
DIP-714N,NP_009537,P16892,DIP-858N,NP_010388,P32917
DIP-60N,NP_011554,P14681,DIP-858N,NP_010388,P32917
DIP-60N,NP_011554,P14681,DIP-861N,NP_013466,P23561
DIP-861N,NP_013466,P23561,DIP-714N,NP_009537,P16892
DIP-60N,NP_011554,P14681,DIP-9N,NP_010122,P06784
DIP-9N,NP_010122,P06784,DIP-714N,NP_009537,P16892
DIP-60N,NP_011554,P14681,DIP-64N,NP_011952,P13574
DIP-861N,NP_013466,P23561,DIP-667N,NP_009898,P25344
DIP-518N,-,Q06891,DIP-1041N,NP_014744,P01119
DIP-518N,-,Q06891,DIP-675N,NP_014996,P24719
DIP-675N,NP_014996,P24719,DIP-1041N,NP_014744,P01119
DIP-507N,NP_010020,Q6B184,DIP-512N,NP_010007,P16649
DIP-694N,NP_012242,Q01852,DIP-411N,NP_012579,P12398
DIP-694N,NP_012242,Q01852,DIP-775N,NP_014875,P38523
DIP-775N,NP_014875,P38523,DIP-411N,NP_012579,P12398
DIP-858N,NP_010388,P32917,DIP-954N,NP_014855,P18851
DIP-865N,NP_011307,P34164,DIP-18N,NP_010765,P06782
DIP-840N,NP_012446,P46954,DIP-18N,NP_010765,P06782
DIP-361N,NP_014590,P21182,DIP-361N,NP_014590,P21182
DIP-770N,NP_010676,P39743,DIP-534N,NP_010012,P15891
DIP-534N,NP_010012,P15891,DIP-77N,NP_014261,P17555
DIP-890N,NP_013810,P46680,DIP-310N,NP_116614,P60010
DIP-956N,NP_010103,P46681,DIP-310N,NP_116614,P60010
DIP-880N,NP_013423,P41697,DIP-310N,NP_116614,P60010
DIP-46N,NP_014765,P07274,DIP-310N,NP_116614,P60010
DIP-310N,NP_116614,P60010,DIP-77N,NP_014261,P17555
DIP-310N,NP_116614,P60010,DIP-310N,NP_116614,P60010
DIP-688N,NP_009759,P29366,DIP-310N,NP_116614,P60010
DIP-712N,NP_011856,Q03497,DIP-688N,NP_009759,P29366
DIP-862N,NP_013330,P19073,DIP-974N,NP_014128,P41832
DIP-974N,NP_014128,P41832,DIP-310N,NP_116614,P60010
DIP-310N,NP_116614,P60010,DIP-963N,NP_014824,Q12446
DIP-718N,NP_010414,P32599,DIP-963N,NP_014824,Q12446
DIP-963N,NP_014824,Q12446,DIP-836N,NP_012230,P13517
DIP-197N,NP_013050,Q03048,DIP-963N,NP_014824,Q12446
DIP-963N,NP_014824,Q12446,DIP-695N,NP_009546,P32790
DIP-963N,NP_014824,Q12446,DIP-688N,NP_009759,P29366
DIP-974N,NP_014128,P41832,DIP-46N,NP_014765,P07274
DIP-817N,NP_012107,P40450,DIP-46N,NP_014765,P07274
DIP-817N,NP_012107,P40450,DIP-755N,NP_012981,Q00246
DIP-1013N,NP_015008,P52960,DIP-46N,NP_014765,P07274
DIP-310N,NP_116614,P60010,DIP-808N,NP_011888,P08964
DIP-718N,NP_010414,P32599,DIP-310N,NP_116614,P60010
DIP-973N,NP_014156,P33338,DIP-310N,NP_116614,P60010
DIP-77N,NP_014261,P17555,DIP-77N,NP_014261,P17555
DIP-310N,NP_116614,P60010,DIP-860N,NP_013441,P37370
DIP-590N,NP_010116,P06100,DIP-183N,NP_010736,Q02336
DIP-774N,NP_010461,P32494,DIP-183N,NP_010736,Q02336
DIP-44N,NP_011075,P13393,DIP-774N,NP_010461,P32494
DIP-183N,NP_010736,Q02336,DIP-710N,NP_011768,Q03330
DIP-933N,NP_014493,P50875,DIP-774N,NP_010461,P32494
DIP-774N,NP_010461,P32494,DIP-793N,NP_009548,P33200
DIP-183N,NP_010736,Q02336,DIP-591N,NP_010907,P03069
DIP-44N,NP_011075,P13393,DIP-183N,NP_010736,Q02336
DIP-594N,NP_013661,P04387,DIP-593N,NP_015076,P04386
DIP-44N,NP_011075,P13393,DIP-593N,NP_015076,P04386
DIP-593N,NP_015076,P04386,DIP-183N,NP_010736,Q02336
DIP-591N,NP_010907,P03069,DIP-107N,NP_011907,P34162
DIP-290N,NP_010594,P47822,DIP-591N,NP_010907,P03069
DIP-591N,NP_010907,P03069,DIP-774N,NP_010461,P32494
DIP-591N,NP_010907,P03069,DIP-925N,NP_013963,Q05027
DIP-591N,NP_010907,P03069,DIP-981N,NP_011403,P53040
DIP-740N,NP_009757,P38129,DIP-591N,NP_010907,P03069
DIP-740N,NP_009757,P38129,DIP-183N,NP_010736,Q02336
DIP-774N,NP_010461,P32494,DIP-925N,NP_013963,Q05027
DIP-981N,NP_011403,P53040,DIP-774N,NP_010461,P32494
DIP-774N,NP_010461,P32494,DIP-740N,NP_009757,P38129
DIP-839N,NP_011790,P46677,DIP-925N,NP_013963,Q05027
DIP-839N,NP_011790,P46677,DIP-740N,NP_009757,P38129
DIP-805N,NP_011967,P38811,DIP-183N,NP_010736,Q02336
DIP-771N,NP_009637,P35177,DIP-805N,NP_011967,P38811
DIP-774N,NP_010461,P32494,DIP-771N,NP_009637,P35177
DIP-805N,NP_011967,P38811,DIP-774N,NP_010461,P32494
DIP-740N,NP_009757,P38129,DIP-7N,NP_010502,P07248
DIP-44N,NP_011075,P13393,DIP-7N,NP_010502,P07248
DIP-7N,NP_010502,P07248,DIP-839N,NP_011790,P46677
DIP-981N,NP_011403,P53040,DIP-7N,NP_010502,P07248
DIP-855N,NP_010451,Q12030,DIP-7N,NP_010502,P07248
DIP-955N,NP_015069,Q12060,DIP-955N,NP_015069,Q12060
DIP-955N,NP_015069,Q12060,DIP-183N,NP_010736,Q02336
DIP-955N,NP_015069,Q12060,DIP-774N,NP_010461,P32494
DIP-955N,NP_015069,Q12060,DIP-933N,NP_014493,P50875
DIP-710N,NP_011768,Q03330,DIP-955N,NP_015069,Q12060
DIP-7N,NP_010502,P07248,DIP-710N,NP_011768,Q03330
DIP-701N,NP_015411,P29055,DIP-7N,NP_010502,P07248
DIP-889N,NP_013807,P40341,DIP-802N,NP_010933,P39925
DIP-507N,NP_010020,Q6B184,DIP-72N,NP_013757,P11746
DIP-64N,NP_011952,P13574,DIP-72N,NP_013757,P11746
DIP-886N,NP_013592,P23642,DIP-783N,NP_015275,P39107
DIP-796N,NP_009469,P38042,DIP-939N,NP_013228,Q12440
DIP-25N,NP_012903,P09798,DIP-939N,NP_013228,Q12440
DIP-589N,NP_012036,P16522,DIP-939N,NP_013228,Q12440
DIP-110N,NP_011106,P25453,DIP-110N,NP_011106,P25453
DIP-195N,NP_011021,P25454,DIP-3N,NP_013680,P06778
DIP-195N,NP_011021,P25454,DIP-509N,NP_011352,P32863
DIP-110N,NP_011106,P25453,DIP-996N,NP_014834,Q08562
DIP-202N,NP_014400,P32910,DIP-934N,NP_015516,P32349
DIP-761N,NP_012950,P36121,DIP-1003N,NP_010131,P25441
DIP-17N,NP_015435,P07703,DIP-130N,NP_014286,P28000
DIP-71N,NP_009712,P20434,DIP-999N,NP_014986,P10964
DIP-71N,NP_009712,P20434,DIP-611N,NP_010141,P04050
DIP-612N,NP_014759,P04051,DIP-71N,NP_009712,P20434
DIP-135N,NP_015335,P22138,DIP-130N,NP_014286,P28000
DIP-837N,NP_012243,P16370,DIP-130N,NP_014286,P28000
DIP-611N,NP_010141,P04050,DIP-610N,NP_011445,P27999
DIP-610N,NP_011445,P27999,DIP-612N,NP_014759,P04051
DIP-997N,NP_014850,P22276,DIP-887N,NP_010330,Q04307
DIP-783N,NP_015275,P39107,DIP-845N,NP_010878,P32629
DIP-936N,NP_012013,P40422,DIP-135N,NP_015335,P22138
DIP-825N,NP_014853,P22139,DIP-611N,NP_010141,P04050
DIP-825N,NP_014853,P22139,DIP-14N,NP_014794,P08518
DIP-191N,NP_011762,P29056,DIP-230N,NP_011561,P33339
DIP-135N,NP_015335,P22138,DIP-236N,NP_012597,P32529
DIP-837N,NP_012243,P16370,DIP-937N,NP_014638,P38902
DIP-135N,NP_015335,P22138,DIP-825N,NP_014853,P22139
DIP-352N,NP_116694,P14724,DIP-589N,NP_012036,P16522
DIP-1113N,NP_013940,Q03654,DIP-1112N,NP_013064,P32523
DIP-1117N,NP_015147,Q08920,DIP-728N,NP_014210,Q02821
DIP-25N,NP_012903,P09798,DIP-1127N,NP_014892,Q08683
DIP-25N,NP_012903,P09798,DIP-1128N,NP_011274,P53068
DIP-1129N,NP_013203,Q12107,DIP-25N,NP_012903,P09798
