ID.interactor.A,RefSeq.interactor.A,UniprotKB.interactor.A,ID.interactor.B,RefSeq.interactor.B,UniprotKB.interactor.B
DIP-2822N,NP_013618,P23639,DIP-8930N,-,Q12245
DIP-8930N,-,Q12245,DIP-2823N,NP_011651,P23638
DIP-4844N,NP_014604,P40303,DIP-8930N,-,Q12245
DIP-8930N,-,Q12245,DIP-1193N,NP_011769,P32379
DIP-8930N,-,Q12245,DIP-1528N,NP_014045,P40302
DIP-8930N,-,Q12245,DIP-1526N,NP_015007,P21242
DIP-8930N,-,Q12245,DIP-2818N,NP_014800,P25043
DIP-419N,NP_010511,P04911,DIP-1008N,NP_010773,Q03388
DIP-419N,NP_010511,P04911,DIP-2986N,NP_009391,P31376
DIP-1624N,NP_013503,P35817,DIP-419N,NP_010511,P04911
DIP-419N,NP_010511,P04911,DIP-4645N,NP_013489,Q06707
DIP-5207N,NP_015089,Q12464,DIP-2361N,NP_012454,P80428
DIP-310N,NP_116614,P60010,DIP-5207N,NP_015089,Q12464
DIP-5207N,NP_015089,Q12464,DIP-4645N,NP_013489,Q06707
DIP-5207N,NP_015089,Q12464,DIP-3869N,NP_116641,P43579
DIP-5062N,NP_014184,P40154,DIP-5207N,NP_015089,Q12464
DIP-4830N,NP_013153,Q12345,DIP-5207N,NP_015089,Q12464
DIP-8958N,NP_014726,Q12416,DIP-1510N,NP_010102,Q12477
DIP-8958N,NP_014726,Q12416,DIP-7974N,NP_015393,Q12214
DIP-8047N,NP_015209,Q02959,DIP-8958N,NP_014726,Q12416
DIP-8958N,NP_014726,Q12416,DIP-681N,NP_014069,P32561
DIP-598N,NP_013283,P09959,DIP-1267N,NP_009360,P13365
DIP-941N,NP_013545,Q12745,DIP-5478N,NP_011417,P53146
DIP-1141N,NP_011869,P87108,DIP-5432N,NP_012726,P36046
DIP-850N,NP_011099,P32639,DIP-850N,NP_011099,P32639
DIP-5818N,NP_012576,P46673,DIP-2074N,NP_011423,P49687
DIP-799N,NP_009694,P38111,DIP-5037N,NP_012445,P47027
DIP-5037N,NP_012445,P47027,DIP-2970N,NP_010787,Q04377
DIP-1549N,NP_013268,P61864,DIP-1461N,NP_010430,P08153
DIP-1461N,NP_010430,P08153,DIP-1625N,NP_116585,P07834
DIP-1458N,NP_011345,P45819,DIP-1625N,NP_116585,P07834
DIP-591N,NP_010907,P03069,DIP-1625N,NP_116585,P07834
DIP-719N,NP_012003,P23291,DIP-2517N,NP_011700,P19812
DIP-8124N,NP_011552,P53224,DIP-5249N,NP_014025,P25045
DIP-5249N,NP_014025,P25045,DIP-5579N,NP_013454,Q06144
DIP-2517N,NP_011700,P19812,DIP-5860N,NP_014092,P21965
DIP-2802N,NP_014840,Q08601,DIP-2802N,NP_014840,Q08601
DIP-1549N,NP_013268,P61864,DIP-7461N,NP_010081,P26188
DIP-4873N,NP_012915,P33202,DIP-7461N,NP_010081,P26188
DIP-6289N,NP_009642,P18238,DIP-6289N,NP_009642,P18238
DIP-2321N,NP_013714,P32562,DIP-2516N,NP_010503,P14737
DIP-2322N,NP_015172,P22216,DIP-2321N,NP_013714,P32562
DIP-8124N,NP_011552,P53224,DIP-6610N,NP_012710,P32368
DIP-6658N,NP_010347,P40970,DIP-8124N,NP_011552,P53224
DIP-47347N,-,Q3E790,DIP-8124N,NP_011552,P53224
DIP-6610N,NP_012710,P32368,DIP-5579N,NP_013454,Q06144
DIP-6658N,NP_010347,P40970,DIP-5579N,NP_013454,Q06144
DIP-5579N,NP_013454,Q06144,DIP-47347N,-,Q3E790
DIP-6610N,NP_012710,P32368,DIP-5249N,NP_014025,P25045
DIP-5249N,NP_014025,P25045,DIP-47347N,-,Q3E790
DIP-7286N,NP_012234,P40318,DIP-6641N,NP_009854,P38360
DIP-596N,NP_010242,P06700,DIP-4390N,NP_014038,P22146
DIP-415N,NP_012443,P12954,DIP-4776N,NP_013367,Q06148
DIP-1017N,NP_009871,P25588,DIP-4272N,NP_014126,P53840
DIP-8124N,NP_011552,P53224,DIP-5579N,NP_013454,Q06144
DIP-1549N,NP_013268,P61864,DIP-6641N,NP_009854,P38360
DIP-1258N,NP_014713,Q08484,DIP-6597N,NP_011305,P51996
DIP-1258N,NP_014713,Q08484,DIP-2022N,NP_010948,P38555
DIP-2428N,NP_013008,P36161,DIP-2721N,NP_012866,P35729
DIP-3908N,NP_010183,Q12154,DIP-3908N,NP_010183,Q12154
DIP-1364N,NP_010798,Q12306,DIP-416N,NP_010510,P02293
DIP-2407N,NP_010882,P24279,DIP-2409N,NP_015344,P30665
DIP-2407N,NP_010882,P24279,DIP-1294N,NP_011314,P53091
DIP-6624N,NP_013487,Q12749,DIP-5016N,NP_012267,P40562
DIP-5016N,NP_012267,P40562,DIP-5183N,NP_010955,P40026
DIP-1364N,NP_010798,Q12306,DIP-1979N,NP_014608,Q08204
DIP-5016N,NP_012267,P40562,DIP-1979N,NP_014608,Q08204
DIP-4937N,NP_012237,P40540,DIP-7609N,NP_012621,P47133
DIP-8136N,NP_012715,P36039,DIP-4937N,NP_012237,P40540
DIP-1358N,NP_013585,Q00582,DIP-1763N,NP_009633,P38247
DIP-1747N,NP_013125,P39929,DIP-4802N,NP_013282,Q06263
DIP-1353N,NP_012161,P40485,DIP-1353N,NP_012161,P40485
DIP-1380N,NP_012974,P25293,DIP-1380N,NP_012974,P25293
DIP-1967N,NP_012057,P38874,DIP-1967N,NP_012057,P38874
DIP-590N,NP_010116,P06100,DIP-2256N,NP_012226,P06102
DIP-6718N,NP_015224,Q02884,DIP-6718N,NP_015224,Q02884
DIP-1143N,NP_014555,P00330,DIP-1143N,NP_014555,P00330
DIP-2883N,NP_012777,P33299,DIP-2748N,NP_009831,P38348
DIP-1745N,NP_015323,Q12483,DIP-1961N,NP_013794,Q04272
DIP-3993N,NP_015321,Q12230,DIP-4618N,NP_011600,P53252
DIP-5381N,NP_011696,P49723,DIP-4558N,NP_014873,Q12363
DIP-6369N,NP_011943,P38797,DIP-1610N,NP_013796,P24280
DIP-2291N,NP_009530,P29469,DIP-2409N,NP_015344,P30665
DIP-4842N,NP_013058,Q07879,DIP-1196N,NP_012041,P38862
DIP-1982N,NP_014530,Q12285,DIP-2005N,NP_014807,Q12125
DIP-2003N,NP_015430,Q06096,DIP-4374N,NP_011292,P53079
DIP-1513N,NP_014198,P40164,DIP-2078N,NP_011577,P32914
DIP-1737N,NP_013552,P32366,DIP-2293N,NP_010096,P17255
DIP-4083N,NP_013642,Q04636,DIP-417N,NP_009564,P61830
DIP-419N,NP_010511,P04911,DIP-3905N,NP_010360,P32345
DIP-4083N,NP_013642,Q04636,DIP-419N,NP_010511,P04911
DIP-4295N,NP_009507,P38193,DIP-419N,NP_010511,P04911
DIP-1513N,NP_014198,P40164,DIP-419N,NP_010511,P04911
DIP-3823N,NP_015458,Q06505,DIP-837N,NP_012243,P16370
DIP-2815N,NP_009732,P38293,DIP-4796N,NP_013300,Q05778
DIP-2293N,NP_010096,P17255,DIP-2720N,NP_011905,P48836
DIP-4295N,NP_009507,P38193,DIP-6449N,NP_010579,P24276
DIP-6449N,NP_010579,P24276,DIP-3905N,NP_010360,P32345
DIP-6299N,NP_010993,P21524,DIP-5671N,NP_012508,P09938
DIP-837N,NP_012243,P16370,DIP-825N,NP_014853,P22139
DIP-1152N,NP_011519,P41896,DIP-825N,NP_014853,P22139
DIP-937N,NP_014638,P38902,DIP-1152N,NP_011519,P41896
DIP-2078N,NP_011577,P32914,DIP-3905N,NP_010360,P32345
DIP-6621N,NP_013703,P27692,DIP-3905N,NP_010360,P32345
DIP-6515N,NP_012716,P36040,DIP-4796N,NP_013300,Q05778
DIP-7982N,NP_013744,Q05050,DIP-4618N,NP_011600,P53252
DIP-4618N,NP_011600,P53252,DIP-6346N,NP_013803,Q04279
DIP-4869N,NP_012796,P12688,DIP-1353N,NP_012161,P40485
DIP-1513N,NP_014198,P40164,DIP-6449N,NP_010579,P24276
DIP-2130N,NP_013220,Q99176,DIP-5828N,NP_015260,Q02767
DIP-5634N,NP_015381,Q12004,DIP-2435N,NP_013105,Q04673
DIP-2029N,NP_012626,P45976,DIP-871N,NP_010481,P42073
DIP-2293N,NP_010096,P17255,DIP-6640N,NP_015361,P41807
DIP-2303N,NP_015366,P38431,DIP-2327N,NP_012540,P20459
DIP-1712N,NP_014758,Q99394,DIP-6461N,NP_010695,Q04183
DIP-1590N,NP_014760,P33297,DIP-1573N,NP_116659,P43588
DIP-1573N,NP_116659,P43588,DIP-1589N,NP_014902,P53549
DIP-2883N,NP_012777,P33299,DIP-4638N,NP_012190,P32565
DIP-1354N,NP_010393,P46944,DIP-1709N,NP_010760,Q03337
DIP-1712N,NP_014758,Q99394,DIP-1354N,NP_010393,P46944
DIP-4292N,NP_014193,P40161,DIP-417N,NP_009564,P61830
DIP-1240N,NP_010571,P31111,DIP-2372N,NP_013365,P14291
DIP-1364N,NP_010798,Q12306,DIP-1240N,NP_010571,P31111
DIP-1586N,NP_009481,P05754,DIP-1470N,NP_014040,P32497
DIP-2253N,NP_009396,P10591,DIP-2883N,NP_012777,P33299
DIP-1587N,NP_010682,P33298,DIP-4637N,NP_013525,O13563
DIP-4701N,NP_012843,P31412,DIP-2293N,NP_010096,P17255
DIP-2732N,NP_009660,P38261,DIP-2934N,NP_012450,P19658
DIP-2934N,NP_012450,P19658,DIP-1724N,NP_013267,Q06245
DIP-2934N,NP_012450,P19658,DIP-2681N,NP_011281,P22224
DIP-6461N,NP_010695,Q04183,DIP-1709N,NP_010760,Q03337
DIP-2293N,NP_010096,P17255,DIP-4595N,NP_014977,P22203
DIP-14N,NP_014794,P08518,DIP-1152N,NP_011519,P41896
DIP-55N,NP_012395,P20433,DIP-1152N,NP_011519,P41896
DIP-2195N,NP_014867,P20436,DIP-1152N,NP_011519,P41896
DIP-5671N,NP_012508,P09938,DIP-4558N,NP_014873,Q12363
DIP-6700N,NP_014177,P53538,DIP-871N,NP_010481,P42073
DIP-1586N,NP_009481,P05754,DIP-4894N,NP_014192,P40160
DIP-1152N,NP_011519,P41896,DIP-2194N,NP_015513,P20435
DIP-1893N,NP_012259,P40555,DIP-1589N,NP_014902,P53549
DIP-4295N,NP_009507,P38193,DIP-2078N,NP_011577,P32914
DIP-4640N,NP_015461,Q01454,DIP-2409N,NP_015344,P30665
DIP-6427N,NP_014445,P53739,DIP-4869N,NP_012796,P12688
DIP-6427N,NP_014445,P53739,DIP-6427N,NP_014445,P53739
DIP-6427N,NP_014445,P53739,DIP-7949N,NP_011093,P32660
DIP-1549N,NP_013268,P61864,DIP-2394N,NP_014026,P00729
DIP-6604N,NP_012053,P38720,DIP-1549N,NP_013268,P61864
DIP-2251N,NP_014335,P25491,DIP-4323N,NP_009902,P25367
DIP-1490N,NP_013527,Q06410,DIP-1191N,NP_015511,Q06628
